Epoch 9, loss 21.15773392
Epoch 19, loss 15.26808834
Epoch 29, loss 10.74005699
Epoch 39, loss 7.12560463
Epoch 49, loss 4.46272469
Epoch 59, loss 3.09393144
Epoch 69, loss 2.36246967
Epoch 79, loss 1.92094553
Epoch 89, loss 1.67137051
Epoch 99, loss 1.53823566
Epoch 109, loss 1.45621097
Epoch 119, loss 1.41179335
Epoch 129, loss 1.38245130
Epoch 139, loss 1.36480415
Epoch 149, loss 1.35282612
Epoch 159, loss 1.34286332
Epoch 169, loss 1.33311069
Epoch 179, loss 1.32493794
Epoch 189, loss 1.30773675
Epoch 199, loss 1.29639947
Epoch 209, loss 1.28038657
Epoch 219, loss 1.26216698
Epoch 229, loss 1.24432981
Epoch 239, loss 1.22608602
Epoch 249, loss 1.21143603
Epoch 259, loss 1.19464982
Epoch 269, loss 1.17798507
Epoch 279, loss 1.16578865
Epoch 289, loss 1.15426755
Epoch 299, loss 1.14342916
Epoch 309, loss 1.13071156
Epoch 319, loss 1.12465501
Epoch 329, loss 1.11444783
Epoch 339, loss 1.10851359
Epoch 349, loss 1.10288608
Epoch 359, loss 1.09563780
Epoch 369, loss 1.09018481
Epoch 379, loss 1.08546364
Epoch 389, loss 1.07981002
Epoch 399, loss 1.07580769
Epoch 409, loss 1.07150686
Epoch 419, loss 1.06746221
Epoch 429, loss 1.06578076
Epoch 439, loss 1.05870855
Epoch 449, loss 1.05676448
Epoch 459, loss 1.05369735
Epoch 469, loss 1.05026627
Epoch 479, loss 1.04875124
Epoch 489, loss 1.04568827
Epoch 499, loss 1.04047203
Epoch 509, loss 1.03882492
Epoch 519, loss 1.03528202
Epoch 529, loss 1.03164852
Epoch 539, loss 1.02777231
Epoch 549, loss 1.02424467
Epoch 559, loss 1.02350247
Epoch 569, loss 1.02006376
Epoch 579, loss 1.01820111
Epoch 589, loss 1.01364803
Epoch 599, loss 1.01071608
Epoch 609, loss 1.01035655
Epoch 619, loss 1.00610292
Epoch 629, loss 1.00183034
Epoch 639, loss 0.99899513
Epoch 649, loss 0.99725264
Epoch 659, loss 0.99154782
Epoch 669, loss 0.98755062
Epoch 679, loss 0.98505104
Epoch 689, loss 0.98193604
Epoch 699, loss 0.97885317
Epoch 709, loss 0.97732097
Epoch 719, loss 0.97056752
Epoch 729, loss 0.97014499
Epoch 739, loss 0.96672416
Epoch 749, loss 0.96379191
Epoch 759, loss 0.95860320
Epoch 769, loss 0.95573115
Epoch 779, loss 0.95370209
Epoch 789, loss 0.95026964
Epoch 799, loss 0.94988102
Epoch 809, loss 0.94512683
Epoch 819, loss 0.94125962
Epoch 829, loss 0.93762064
Epoch 839, loss 0.93321365
Epoch 849, loss 0.93119204
Epoch 859, loss 0.92471492
Epoch 869, loss 0.92367089
Epoch 879, loss 0.92120337
Epoch 889, loss 0.91821486
Epoch 899, loss 0.91112447
Epoch 909, loss 0.91166347
Epoch 919, loss 0.90709281
Epoch 929, loss 0.90310574
Epoch 939, loss 0.90235257
Epoch 949, loss 0.89745545
Epoch 959, loss 0.89516014
Epoch 969, loss 0.89109683
Epoch 979, loss 0.88863122
Epoch 989, loss 0.88520354
Epoch 999, loss 0.88335592
